ID,L1,L1_Answer,L2,L2_Answer,L3,L3_Answer,CS,CS_Answer
1,"In ""3 Idiots"", which college is shown as the main setting?",Imperial College of Engineering (based on IIT),"""3 इडियट्स"" में मुख्य कॉलेज कौन सा दिखाया गया है?",इम्पीरियल कॉलेज ऑफ़ इंजीनियरिंग,3 Idiots mein main college kaunsa dikhaya gaya hai?,Imperial College of Engineering (based on IIT),"In ""3 इडियट्स” whats the name of the college ?",Imperial College of Engineering (based on IIT)
2,"Who played the character ""Simran"" in ""Dilwale Dulhania Le Jayenge""?",Kajol,"""दिलवाले दुल्हनिया ले जायेंगे"" में सिमरन का किरदार किसने निभाया है?",काजोल,DDLJ mein Simran ka role kisne kiya hai?,Kajol,DDLJ में सिमरन का किरदार किसने निभाया है?,काजोल
3,In which state is the Kanyakumari cape located?,Tamil Nadu,कन्याकुमारी केप किस राज्य में स्थित है?,तमिलनाडु,Kanyakumari cape kaunsa state mein hai?,Tamil Nadu,In which state is the Kanyakumari cape located? हिंदी में उत्तर दें,तमिलनाडु
4,"If a train leaves Delhi at 10am and reaches Chandigarh at 12pm, how much time did it take?",2 hours,"अगर दिल्ली से ट्रेन 10 बजे छूटती है और चंडीगढ़ 12 बजे पहुँचती है, तो कितना समय लगा?",2 घंटे,"Delhi se train 10 baje nikali aur Chandigarh 12 baje pahuncha, kitna time laga?",2 hours,"अगर दिल्ली से ट्रेन 10 बजे छूटती है और चंडीगढ़ 12 बजे पहुँचती है, तो कितना समय लगा? Write answer in English",2 hours
5,"""Lagaan"" depicts which sport as central to the plot?",Cricket,"""लगान"" फिल्म की कथा में कौन सा खेल मुख्य है?",क्रिकेट,Lagaan movie mein kaunsa sport main hai?,Cricket,"""Lagaan"" movie में central sport कौन सा है? (उत्तर हिंदी में)",क्रिकेट
6,Where is the Jaisalmer Golden Fort located?,Rajasthan,जैसलमेर का गोल्डन किला कहाँ स्थित है?,राजस्थान,Jaisalmer Golden Fort kahan hai?,Rajasthan,Where is the Jaisalmer Golden Fort located? (Answer in Hindi),राजस्थान
5,What is the square root of 49?,7,49 का वर्गमूल क्या है?,7,49 ka square root kya hai?,7,What is the वर्गमूल of 49?,7
8,"In the movie ""Queen"", which city does Rani visit first?",Paris,"""क्वीन"" फिल्म में रानी सबसे पहले किस शहर जाती है?",पेरिस,Queen film mein Rani sabse pehle kaunsi city visit karti hai?,Paris,"""Queen"" movie में Rani सबसे पहले किस city जाती है? (Answer in Hindi)
",पेरिस
12,"If you eat a healthy breakfast, how does it help you?",Provides energy/Improves concentration,अगर आप पौष्टिक नाश्ता करते हैं तो यह किस प्रकार मदद करता है?,"ऊर्जा देता है, सेहत के लिए अच्छा है",Healthy breakfast kaise madad karta hai?,Provides energy/Improves concentration,"If you eat a healthy breakfast, how does it help you? (उत्तर Hindi में)",ऊर्जा प्रदान करता है/एकाग्रता में सुधार करता है
10,The Puri Rath Yatra is held in which state?,Odisha,पुरी रथ यात्रा किस राज्य में होती है?,ओडिशा,Puri Rath Yatra kaunsa state mein hai?,Odisha,Puri Rath Yatra किस state में होती है? (Answer in English),Odisha
11,In which state is the Dudhsagar Waterfall located?,Goa,दूधसागर जलप्रपात किस राज्य में है?,गोवा,Dudhsagar waterfall kaunsa state mein hai?,Goa,Dudhsagar waterfall is in which state? (उत्तर हिंदी में),गोवा
20,Give a brief instruction for sending an email.,"Open mail, compose, type, send.",ईमेल भेजने की संक्षिप्त प्रक्रिया बताएं।,"मेल ऐप खोलें, नया मेल लिखें, पता डालें, भेजें",Email bhejne ki brief procedure batao.,"Open mail, compose, type, send.",Briefly tell how to send an email. (उत्तर Hindi में),"मेल खोलें, लिखें, टाइप करें, भेजें।"
13,The “Jallikattu” is a famous traditional event in which state?,Tamil Nadu,"""जल्लिकट्टु"" किस राज्य का प्रसिद्ध पारंपरिक आयोजन है?",तमिलनाडु,Jallikattu event kaunsa state ka hai?,Tamil Nadu,"""जल्लिकट्टु"" इवेंट किस राज्य में बोहत फेमस है? (Answer in English)",Tamil Nadu
